EOI_Code,Municipality,same_as_wikidata_municipality,Station_Name,Pollutant_Code,Pollutant_Name,same_as_wikidata_pollutant_name,Units,Station_Type,Station_Environment,same_as_wikidata_station_environment,INE_Code,Date,Values,Latitude,Longitude
25051001,Bellver de Cerdanya,https://wikidata.org/entity/Q13732,CEIP Mare de Déu de Talló,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Background,rural_area,https://wikidata.org/entity/Q175185,25051,2021-02-17,0.87,42.36829808,1.77680973
25051001,Bellver de Cerdanya,https://wikidata.org/entity/Q13732,CEIP Mare de Déu de Talló,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Background,rural_area,https://wikidata.org/entity/Q175185,25051,2021-02-25,1.1,42.36829808,1.77680973
43044003,La Sénia,https://wikidata.org/entity/Q704847,Repetidor,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,rural_area,https://wikidata.org/entity/Q175185,43044,2021-01-01,0.11,40.64300184,0.28844013
43044003,La Sénia,https://wikidata.org/entity/Q704847,Repetidor,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,rural_area,https://wikidata.org/entity/Q175185,43044,2021-05-01,0.12,40.64300184,0.28844013
43044003,La Sénia,https://wikidata.org/entity/Q704847,Repetidor,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,rural_area,https://wikidata.org/entity/Q175185,43044,2021-01-13,0.12,40.64300184,0.28844013
43044003,La Sénia,https://wikidata.org/entity/Q704847,Repetidor,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,rural_area,https://wikidata.org/entity/Q175185,43044,2021-01-21,0.11,40.64300184,0.28844013
43044003,La Sénia,https://wikidata.org/entity/Q704847,Repetidor,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,rural_area,https://wikidata.org/entity/Q175185,43044,2021-01-25,0.11,40.64300184,0.28844013
8019044,Barcelona,https://wikidata.org/entity/Q1492,Gràcia - Sant Gervasi,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Traffic,urban_area,https://wikidata.org/entity/Q702492,8019,2021-01-02,0.4,41.39869879,2.15346989
8019044,Barcelona,https://wikidata.org/entity/Q1492,Gràcia - Sant Gervasi,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Traffic,urban_area,https://wikidata.org/entity/Q702492,8019,2021-03-02,0.4,41.39869879,2.15346989
8019044,Barcelona,https://wikidata.org/entity/Q1492,Gràcia - Sant Gervasi,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Traffic,urban_area,https://wikidata.org/entity/Q702492,8019,2021-07-02,0.4,41.39869879,2.15346989
8019044,Barcelona,https://wikidata.org/entity/Q1492,Gràcia - Sant Gervasi,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Traffic,urban_area,https://wikidata.org/entity/Q702492,8019,2021-09-02,0.4,41.39869879,2.15346989
8019044,Barcelona,https://wikidata.org/entity/Q1492,Gràcia - Sant Gervasi,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Traffic,urban_area,https://wikidata.org/entity/Q702492,8019,2021-11-02,0.4,41.39869879,2.15346989
8019044,Barcelona,https://wikidata.org/entity/Q1492,Gràcia - Sant Gervasi,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Traffic,urban_area,https://wikidata.org/entity/Q702492,8019,2021-02-14,0.4,41.39869879,2.15346989
8019044,Barcelona,https://wikidata.org/entity/Q1492,Gràcia - Sant Gervasi,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Traffic,urban_area,https://wikidata.org/entity/Q702492,8019,2021-02-16,0.4,41.39869879,2.15346989
8019044,Barcelona,https://wikidata.org/entity/Q1492,Gràcia - Sant Gervasi,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Traffic,urban_area,https://wikidata.org/entity/Q702492,8019,2021-02-18,0.4,41.39869879,2.15346989
8019044,Barcelona,https://wikidata.org/entity/Q1492,Gràcia - Sant Gervasi,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Traffic,urban_area,https://wikidata.org/entity/Q702492,8019,2021-02-21,0.4,41.39869879,2.15346989
